firstname,lastname,addressline1,addressline2,city,comment,email,itemnumber,,phone,state,zipcode,description
Divya1,Patel1,29 rodney street,albany,auckland,test csv comment,divs25@gmail.com,1,,1234567890,AL,111111,description1
Divya2,Patel2,30 rodney street,albany1,auckland,test csv comment,divs25@gmail.com,2,,1111111112,AL,111112,description2
Divya3,Patel3,31 rodney street,albany,auckland,test csv comment,divs25@gmail.com,3,,1111111113,AL,111113,description3
Divya4,Patel4,32 rodney street,albany2,auckland,test csv comment,divs25@gmail.com,4,,1111111114,AL,111114,description4
Divya5,Patel5,33 rodney street,albany,auckland,test csv comment,divs25@gmail.com,5,,1111111115,AL,111115,description5
Divya6,Patel6,34 rodney street,albany3,auckland,test csv comment,divs25@gmail.com,6,,1111111116,AL,111116,description6
Divya7,Patel7,35 rodney street,albany,auckland,test csv comment,divs25@gmail.com,7,,1111111117,AL,111117,description7
Divya8,Patel8,36 rodney street,albany4,auckland,test csv comment,divs25@gmail.com,8,,1111111118,AL,111118,description8
Divya9,Patel9,37 rodney street,albany,auckland,test csv comment,divs25@gmail.com,9,,1111111119,AL,111119,description9
Divya10,Patel10,38 rodney street,albany5,auckland,test csv comment,divs25@gmail.com,10,,1111111120,AL,111120,description10
